stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
UE,9/30/2019,9742000,,1547486000,102658000,938522000,,653664000,2142042000,,,24081000,441561000,28645000,,,185170000,-29217000,109445000,1212000,2873878000,,24356000,988049000,1838165000,1016054000,49527000,,,47664000
UE,6/30/2019,9044000,,1548944000,109832000,908484000,,601086000,2180094000,,,33647000,412126000,25621000,,,183092000,-56580000,79128000,1212000,2858419000,,22390000,960102000,1848733000,1015470000,51618000,,,49584000
IHG,12/31/2019,90000000,6000000,2098000000,591000000,-2849000000,394000000,935000000,799000000,-2433000000,66000000,1365000000,195000000,472000000,-2433000000,,1383000000,809000000,25000000,52000000,3976000000,743000000,67000000,-1473000000,5441000000,,1037000000,4000000,,8000000
IHG,9/30/2019,90000000,6000000,2098000000,591000000,-2849000000,394000000,935000000,799000000,-2433000000,66000000,1365000000,195000000,472000000,-2433000000,,1383000000,809000000,25000000,52000000,3976000000,743000000,67000000,-1473000000,5441000000,,1037000000,4000000,,8000000
IHG,6/30/2019,494000000,6000000,2295000000,826000000,-2893000000,373000000,1029000000,824000000,-2357000000,65000000,1284000000,188000000,455000000,-2357000000,,1353000000,780000000,5000000,145000000,4142000000,669000000,60000000,-1432000000,5566000000,,1461000000,4000000,,8000000
IHG,3/31/2019,494000000,6000000,2295000000,826000000,-2893000000,373000000,1029000000,824000000,-2357000000,65000000,1284000000,188000000,455000000,-2357000000,,1353000000,780000000,5000000,145000000,4142000000,669000000,60000000,-1432000000,5566000000,,1461000000,4000000,,8000000
ATXI,3/31/2020,350000,,,,5773000,,6696000,,,,923000,6574000,,,,,-69359000,,2000,6696000,,,5773000,923000,75130000,,,,
ATXI,12/31/2019,354000,,,,6800000,,8915000,,,,2115000,8745000,,,,,-68117000,,2000,8915000,,,6800000,2115000,74915000,,,,
ATXI,9/30/2019,808000,,,,11961000,,13878000,,,,1917000,8741000,,,,,-62702000,,2000,13878000,,,11961000,1917000,74661000,,,,
ATXI,6/30/2019,851000,,,,13904000,,15677000,,,,1773000,10455000,,,,,-60460000,,2000,15677000,,,13904000,1773000,74362000,,,,
STWD,3/31/2020,187020000,,12548950000,10547473000,4122731000,865306000,12755248000,2253070000,35884000,,375839000,811656000,61361714000,-97140000,259846000,59807306000,-616765000,1294671000,2894000,77577189000,137529000,,4448058000,72759838000,5159069000,82005000,,,369293000
STWD,12/31/2019,194918000,,11762730000,10650161000,4371796000,894567000,12137285000,2266440000,50932000,,388173000,478388000,62398498000,-53262000,259846000,60743494000,-381719000,979793000,2874000,78042336000,137427000,,4700425000,72905322000,5132532000,85700000,,,436589000
STWD,9/30/2019,215919000,,11102217000,8971430000,4293652000,935252000,10889690000,2729538000,52377000,,383769000,284117000,59499827000,-51817000,259846000,58018209000,-417529000,1552660000,2871000,74434100000,137273000,,4655196000,69521086000,5121671000,119947000,,,257818000
STWD,6/30/2019,204659000,,11209598000,8825596000,4267258000,969448000,10982369000,2771960000,57124000,,371118000,334288000,57834261000,-47070000,259846000,56446619000,-421858000,1768809000,2864000,72947361000,136424000,,4637707000,68044110000,5103771000,129477000,,,265544000
ETNB,3/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETNB,12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETNB,9/30/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETNB,6/30/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSPR,3/31/2020,,,,,69765000,,,,,,,,,,,,,,,,,,69765000,,,,,,
CSPR,12/31/2019,,,,,-308031000,,,,,,,,,,,,,,,,,,-307094000,,,,,,
CSPR,9/30/2019,,,,,-285118000,,,,,,,,,,,,,,,,,,-284247000,,,,,,
